id	RsmmID	Titel	Serie	Länge	Sendezeit	Titel_Sprache	Beschreibung_Sprache	Block	MO	DI	MI	DO	FR	SA	SO	Bild
1	30585	ImGespräch 5	GR	00:20:00	03.08.2026 00:00:00	Conversando con... Catedrático Dr. Mojib Latif, climatólogo.	Conversando con... Catedrático Dr. Mojib Latif, climatólogo.		False	False	False	False	False	False	False	GersprLatif.jpg
4	36979	Die neue Landwirtschaft	GR-SON	00:32:30	03.08.2026 00:23:30	La nueva agricultura bajo el signo messiánico, sofiánico de la Tierra de Isaías, en la obra de acción del amor a Dios y al prójimo	Coloquio sobre el tema: La nueva agricultura bajo el signo mesiánico, sofiánico de la Tierra de Isaías, en la obra de acción del amor a Dios y al prójimo, dada desde la plenitud de la Sabiduría Divina en febrero 2022		False	False	False	False	False	False	False	SchmetterlingUndGetreide_korr.jpg
7	07885	Gottes Wort	OFF	00:05:30	03.08.2026 01:00:00	Lectura de la manifestación divina: La palabra de Dios a la humanidad sobre el estado de la Tierra	Lectura de la manifestación divina: La palabra de Dios a la humanidad sobre el estado de la Tierra		False	False	False	False	False	False	False	DasEwigeWort.jpg
9	02451	ProphStimme	SNJ-SN	00:30:00	03.08.2026 01:07:30	La voz profética por los animales	La voz profética por los animales		False	False	False	False	False	False	False	ProphStimme.jpg
11	30817	InnereAndacht 19	MED	01:00:00	03.08.2026 01:41:30	Experimenta la cercanía de Dios en el silencio interno	Recogimiento Interno. Parte 19. Grabación original de la serie de enseñanza "Las grandes enseñanzas cósmicas de Jesús de Nazaret a sus apósteles y discípulos que podían captarlas"		False	False	False	False	False	False	False	InnereAndacht19.jpg
13	23332	DasIstMeinWort 02	LES	00:27:30	03.08.2026 02:43:30	Esta es Mi Palabra, Alfa y Omega. Capítulo 39: Parábola del Reino de los Cielos	Esta es Mi Palabra, Alfa y Omega. Capítulo 39: Parábola del Reino de los Cielos		False	False	False	False	False	False	False	DIMW_ES-00B.jpg
15	38702	SterbenMeinWort 01	LES	00:15:30	03.08.2026 03:14:00	¡Ya basta! Cada cual muere por sí mismo - ¿cómo? 	Esta es Mi Palabra A y O. 1ª parte		False	False	False	False	False	False	False	ES_Sterben_MeinWort.jpg
18	04516	Aphorismen	MED	00:14:00	03.08.2026 03:36:00	Meditación: Encuentre a su amigo interno. Citas del libro «La Pescadora de perlas»	Meditación: Encuentre a su amigo interno. Citas del libro «La Pescadora de perlas»		False	False	False	False	False	False	False	Aphorismen.jpg
19	29153	Klassik Seele 50f_12	KONZ1	00:12:00	03.08.2026 03:50:00	Música clásica para el alma. Los conciertos de la Santec Music Orchestra	"Música clásica para el alma: Nocturno de ""Sueño de una noche de verano"" de F. Mendelssohn, Scherzo de la Sinfonía N° 1 de"		False	False	False	False	False	False	False	KlassikSeele.jpg
20	24666	OzeanGottes 1	LES	00:50:00	03.08.2026 04:02:00	La Biblioteca cósmica omniabarcante: El océano universal de Dios. Parte 1	La Biblioteca cósmica omniabarcante: El océano universal de Dios. Parte 1		False	False	False	False	False	False	False	OzeanGottes.jpg
25	35403	SchuleLeben 07	DWS	00:50:00	03.08.2026 04:56:30	Bienestar y vivir feliz. Cada día puede ser un beneficio para la vida	La verdadera escuela es la vida. Horas de enseñanza dadas desde la Sabiduría divina.		False	False	False	False	False	False	False	DWS-ES_00.jpg
28	40502	BerichtAfrika 01	LIOS	00:10:30	03.08.2026 05:49:00	Liobaní - Informe llegado de África	Liobaní - La escuela para la Nueva Jerusalén, para otra época – bajo el signo del Cristo de Dios, del amor a Dios y al prójimo: Informe llegado de África		False	False	False	False	False	False	False	LIOS_BerichteAusAfrika.JPG
